Custom,Test,10
Pants,Regular,10.95
Pants,Snow Pants,24.95
Pants,w/ beads/ fancy trimmings,14.95
Pants,Silk/ linen Pants,13.95
Pants,Silk/ linen lined Pants,13.95
Pants,w/ leather/ plastic trimmings,14.95
Pants,handpress Pants,16
Pants,Shorts,9.95
Pants,Shorts - Silk/ linen,10.5
Pants,Leather/ Suede Pants,44.95
Pants,Shorts - leather,37.5
Shirts,Regular (Wetclean),9.95
Shirts,Handpress,9.95
Shirts,Golf/ Polo shirt,4.95
Shirts,Sweatshirt,6.95
Shirts,Jersey,8.95
Shirts,Silk / linen Shirt,12.95
Shirts,Shirt top,4.95
Shirts,Shirts - laundered,3.75
Shirts,Tuxedo shirt,4.95
Suits,2 pc,25.95
Suits,3 pc,35.95
Suits,2 pc w/ lining,24.95
Suits,2 pc Silk/ linen/sequin,27.95
Suits,2 pc Silk/ linen w/ lining,32.75
Suits,2pc w/ leather/ plastic trimmings ,34.75
Suits,2pc tuxedo,29.9
Suits,2pc handpress,45
Suits,3pc handpress,49.95
Suits,2 pc leather/suede,54.95
Suits,Track suit,15.95
Suits,Jumpsuit,19.95
Suits,Snow suit,49.95
Coat,?? length,35.95
Coat,lab coat,16.95
Coat,Full length,39.95
Coat,Trench,29.95
Coat,Cashmere,42.5
Coat,Ultra Suede,37.5
Coat,Down,37.95
Coat,w/ leather/ plastic trimmings,42.5
Coat,Faux fur,49.95
Coat,Zip out lining,15.25
Coat,Spring,27.95
Coat,w/ fur collar or/and cuffs,49.95
Coat,leather/ Shearling - ?? length,69.95
Coat,Leather/ Shearing - full length,74.95
Skirt,Regular,10.95
Skirt,Sari,45.95
Skirt,Indian skirt,21.95
Skirt,Long,11.5
Skirt,Flared,15.95
Skirt,Pleated,13.95
Skirt,slip skirt,8.95
Skirt,Full pleat,15.95
Skirt,Lined,11.5
Skirt,Silk/ linen/ velvet,14.95
Skirt,W/ leather/ plastic trimmings,15.95
Skirt,Fancy/ Beaded,15.95
Skirt,Extra long,12.95
Skirt,Leather/ Suede,44.95
Blouse,Regular,9.95
Blouse,Slip blouse,6.95
Blouse,W/ ruffles,13.95
Blouse,Silk/ linen,12.95
Blouse,Pleated,13.95
Blouse,Extra long,12.95
Blouse,Laced,13.95
Blouse,w/ beaded/ sequins,15.95
Blouse,w/ attached vest,12.95
Blouse,Vest unlined,10.25
Blouse,Vest lined,11.25
Blouse,w/ leather/ plastic trimmings,15.95
Blouse,Bodysuit,10.5
Jacket,Regular,16.95
Jacket,Linen/ Silk,19.95
Jacket,?? Length,24.95
Jacket,Polyurethane,34.95
Jacket,Outer,22.95
Jacket,Handpress,24.95
Jacket,Down,37.95
Jacket,Cashmere,25
Jacket,Faux fur,32.95
Jacket,w/ leather/ plastic trimmings,21.95
Jacket,Ultra suede,21.95
Jacket,Cord,15.95
Jacket,School jacket,29.95
Jacket,Leather / Suede (waist length),54.95
Jacket,Leather/ Suede (3/4 length),69.95
Dress,Regular,22.95
Dress,Short pleated,26.95
Dress,Lined plain,23.95
Dress,Long plain,23.95
Dress,Silk/ linen,29.95
Dress,Long pleated,32.95
Dress,Cocktail - fancy,45.95
Dress,Cocktail - plain,34.95
Dress,2 pc ,38.7
Dress,Knitted,27.95
Dress,Velvet,45.95
Dress,Beaded/ sequins,40.5
Dress,Slip dress,15.95
Dress,Night gown,9.95
Dress,Slip dress - Silk,17.95
Dress,Leather/ Suede,52.95
Sweater,Regular,10.95
Sweater,Cashmere/ angora,14.95
Sweater,Dress,24.95
Sweater,Coat,26.95
Sweater,Linen/ silk,12.95
Sweater,Extra long,12.95
Sweater,2 pc plain,21.95
Sweater,w/ leather/ plastic trimmings,14.95
Sweater,Sequins/ beaded,16.95
Sweater,2 pc cashmere,26.5
Sweater,Jacket,19.95
Sweater,w/ ultra suede panels,15.95
Sweater,wrap,19.95
Sweater,Heavy,11.95
Sweater,w/ fancy buttons,12.5
Sweater,knit blocked,20.95
Tie,Regular,12.5
Tie,Leather,24.95
Tie,Bow tie,12.5
Tie,Cummerbund,9.95
Tie,Suspenders,9.95
Vest,Regular,10.25
Vest,Heavy,12.75
Vest,Down,24.95
Vest,Fancy,12.95
Vest,Silk/ linen,12.25
Vest,Velvet,12.25
Vest,Outer,19.95
Vest,Leather/ Suede,34.95
Scarf,Regular,9.75
Scarf,Silk/sequin,11.95
Scarf,Heavy,10.75
Scarf,Camisole,19.95
Cape,Regular,22.95
Cape,Cashmere,24.95
Shaw,Regular,19.95
Shaw,Silk/ velvet,21.95
Pashmina,Regular,17.95
Pashmina,Uniform - 2pc,19.95
Pashmina,Handkerchief,5.5
Pashmina,Apron,5.95
Pashmina,Belt - fabric,4.95
Pashmina,leather,9.95
Pashmina,Hat/ Cap - fabric,7.95
Pashmina,Hat/ Cap - leather,29.95
Pashmina,Western hat,35.95
Robe,Regular,15.95
Robe,Silk/ satin/ lace/ velvet/ valour,26.95
Robe,Sash,11.75
Gloves,Fabric,6.95
Gloves,Leather,27.5
Wash and fold,1 pound,6
Drape,lined/ panel,16.95
Drape,window dressing,19.95
Drape,Lined / pleat,16.95
Drape,Unlined/ panel,15.95
Drape,Unlined/ pleat,16.95
Sheer,per/ panel,12.95
Sheer,shower curtain,9.95
Sheer,Per/ pleat,12.95
Valence,Lined,45.95
Valence,Unlined,35.95
Valence,Shear,32.5
Slip Cover,Chair,39.95
Slip Cover,Sofa,55.75
Slip Cover,Love seat,49.95
Cushion Cover,Small,7.95
Cushion Cover,Medium,8.95
Cushion Cover,Large,9.95
Cushion,Small,14.95
Cushion,Medium,16.95
Cushion,Large,19.95
Bedspread,Twin,32.95
Bedspread,Full,35.95
Bedspread,Queen,39.95
Bedspread,King,42.95
Table Cloth,Small,15.95
Table Cloth,Medium,21.95
Table Cloth,Large,26.95
Table Cloth,Extra long,34.95
Table Cover,Small,12.5
Table Cover,Medium,15.95
Table Cover,Large,17.95
Table Cover,Extra long,19.95
Other,Wallet,12.95
Other,Backpack/ bags,9.95
Other,Mat,9.95
Other,Shoes/ boots,29.95
Other,Sandles,12.95
Other,Slippers,7.95
Other,Luggage,39.95
Other,Briefcase,39.95
Other,Hockey bag,37.95
Other,Hockey equipment,50
Other,Helmet,19.95
Other,Umbrella,6.95
Other,Apron,4.95
Other,Baptism 3pc,34.95
Korean,Pants,37.29
